2023-8-4,18:50:0,19.17,47.45,999.40,0.35,157.00,0.00,0.00,16.22,21.78,11.76,1292.00
2023-8-4,19:0:0,19.13,47.08,999.56,0.18,270.00,31.86,0.00,19.00,25.00,11.68,1396.00
2023-8-4,19:10:0,19.09,47.00,999.70,0.20,268.00,34.76,0.00,18.78,23.00,11.87,1186.00
2023-8-4,19:20:0,19.13,46.01,999.70,0.38,154.00,34.36,0.00,17.89,21.00,11.84,1402.00
2023-8-4,19:30:0,19.14,46.01,1000.00,0.13,149.00,7.94,0.00,18.00,22.00,11.82,1114.00
2023-8-4,19:40:0,19.20,47.25,1000.10,0.37,176.00,1.62,0.00,27.67,35.00,11.82,1128.00
2023-8-4,19:50:0,19.19,49.91,1000.20,0.70,180.00,0.00,0.00,29.00,38.00,11.89,1140.00
2023-8-4,20:0:0,19.22,52.99,1000.20,0.59,183.00,0.00,0.00,34.00,44.67,11.87,1596.00
2023-8-4,20:10:0,19.20,53.66,1000.30,0.52,165.00,0.00,0.00,38.00,50.00,11.86,1432.00
2023-8-4,20:20:0,19.25,53.26,1000.44,0.61,180.00,0.00,0.00,37.89,47.00,11.74,1442.00
2023-8-4,20:30:0,19.25,54.08,1000.40,0.04,40.00,0.00,0.00,31.00,39.00,11.70,1674.00
2023-8-4,20:40:0,19.30,54.80,1000.40,0.16,42.00,0.00,0.00,35.00,44.00,11.72,1550.00
2023-8-4,20:50:0,19.34,54.52,1000.63,0.17,18.00,0.00,0.00,32.22,42.00,11.70,1428.00
2023-8-4,21:0:0,19.37,52.68,1000.70,0.54,168.00,0.00,0.00,31.00,40.00,11.84,1632.00
2023-8-4,21:10:0,19.37,53.46,1000.80,0.23,185.00,0.00,0.00,29.00,37.22,11.73,1544.00
2023-8-4,21:20:0,19.39,52.49,1000.80,0.24,133.00,0.00,0.00,32.00,40.00,11.79,1340.00
2023-8-4,21:30:0,19.37,52.66,1000.90,0.04,78.00,0.00,0.00,28.00,35.44,11.78,1724.00
2023-8-4,21:40:0,19.37,52.65,1000.90,0.44,182.00,0.00,0.00,28.78,36.44,11.71,1658.00
